ID,Search Engine,Keyword,Location Code,Language Code,Task set,Task complete,Turnaround time,Cost
11061442-1214-0139-0000-8f7059977b6d,google,voice conversations,2840,en,06.11.2025 12:42:10 PM,06.11.2025 12:42:25 PM,00:00:15,0.0155
11061441-1214-0139-0000-f260427f8dc1,google,talk to ai,2840,en,06.11.2025 12:41:56 PM,06.11.2025 12:42:10 PM,00:00:14,0.0155
11061440-1214-0139-0000-ab3548cc3393,google,talk to ai,2840,en,06.11.2025 12:40:10 PM,06.11.2025 12:40:23 PM,00:00:13,0.0155
11061435-1214-0139-0000-318edb582123,google,ai voice conversations,2840,en,06.11.2025 12:35:37 PM,06.11.2025 12:35:44 PM,00:00:07,0.0155
11061432-1214-0139-0000-3495b6bc9a8d,google,natural conversations,2840,en,06.11.2025 12:32:56 PM,06.11.2025 12:33:13 PM,00:00:17,0.0155
11061429-1214-0139-0000-59b73091ab47,google,outloud ai,2840,en,06.11.2025 12:29:46 PM,06.11.2025 12:30:02 PM,00:00:16,0.0155
11061429-1214-0139-0000-d4432c26f034,google,ai conversations,2840,en,06.11.2025 12:29:37 PM,06.11.2025 12:29:46 PM,00:00:09,0.0155
11061428-1214-0139-0000-726aa9963f70,google,natural voice ai,2840,en,06.11.2025 12:28:20 PM,06.11.2025 12:28:31 PM,00:00:11,0.0155
11061428-1214-0139-0000-041dc3afbfae,google,natural voice,2840,en,06.11.2025 12:28:10 PM,06.11.2025 12:28:24 PM,00:00:14,0.0155
11061426-1214-0139-0000-60aa7a68531f,google,voice conversations,2840,en,06.11.2025 12:26:06 PM,06.11.2025 12:26:17 PM,00:00:11,0.0155
11061425-1214-0139-0000-b6d6a0b4af11,google,talk to ai,2840,en,06.11.2025 12:25:53 PM,06.11.2025 12:26:10 PM,00:00:17,0.0155
11061425-1214-0139-0000-01645eb19a23,google,talk to ai,2840,en,06.11.2025 12:25:48 PM,06.11.2025 12:26:03 PM,00:00:15,0.0155
11061425-1214-0139-0000-cc23805581dd,google,talk to ai,2840,en,06.11.2025 12:25:46 PM,06.11.2025 12:25:55 PM,00:00:09,0.0155
11052206-1214-0139-0000-cab2a2f4af48,google,keywords difficulty checker,2840,en,05.11.2025 08:06:58 PM,05.11.2025 08:07:30 PM,00:00:32,0.0155
11052201-1214-0139-0000-f9c587dfe203,google,keywords difficulty checker,2840,en,05.11.2025 08:01:03 PM,05.11.2025 08:01:27 PM,00:00:24,0.0155
11051834-1214-0066-0000-cc417ff3c918,google,seo tools,2840,en,05.11.2025 04:34:03 PM,05.11.2025 04:46:08 PM,00:12:05,0.00465
11051833-1214-0066-0000-31e095b720bf,google,ai talk,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:47:37 PM,00:13:54,0.00465
11051833-1214-0066-0000-a604e09e74a7,google,ai realistic voice,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:46:48 PM,00:13:05,0.00465
11051833-1214-0066-0000-b412f6b32956,google,ai chat,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:17 PM,00:11:34,0.00465
11051833-1214-0066-0000-a9e6a1e69496,google,talk with a ai,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:44:58 PM,00:11:15,0.00465
11051833-1214-0066-0000-6dc52012010a,google,ai talking app,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:44:57 PM,00:11:14,0.00465
11051833-1214-0066-0000-d95df6122c9a,google,voice to ai,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:44:51 PM,00:11:08,0.00465
11051833-1214-0066-0000-53e623922b40,google,voice ai,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:46 PM,00:12:03,0.00465
11051833-1214-0066-0000-c4f3547bde48,google,ai conversation,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:46:07 PM,00:12:24,0.00465
11051833-1214-0066-0000-5d8d7eef6c73,google,ai to talk to,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:44:56 PM,00:11:13,0.00465
11051833-1214-0066-0000-d643b4e1ea1f,google,ai help,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:18 PM,00:11:35,0.00465
11051833-1214-0066-0000-e21f3b6131c1,google,natural voice,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:41 PM,00:11:58,0.00465
11051833-1214-0066-0000-798ea2913bcd,google,ai app,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:06 PM,00:11:23,0.00465
11051833-1214-0066-0000-4bce1eca2f9c,google,ai voice conversation,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:07 PM,00:11:24,0.00465
11051833-1214-0066-0000-f628983b1ee3,google,natural voice ai,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:37 PM,00:11:54,0.00465
11051833-1214-0066-0000-364a1499ee66,google,realistic ai voice,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:14 PM,00:11:31,0.00465
11051833-1214-0066-0000-0e07fb58e5cf,google,ai that you can talk to,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:03 PM,00:11:20,0.00465
11051833-1214-0066-0000-d98dea338506,google,voice ai free,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:01 PM,00:11:18,0.00465
11051833-1214-0066-0000-67829c1941ad,google,natural ai voice,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:45:18 PM,00:11:35,0.00465
11051833-1214-0066-0000-d735545ac8ef,google,best ai voice,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:44:59 PM,00:11:16,0.00465
11051833-1214-0066-0000-0d39ce15c2a3,google,ai i can talk to,2840,en,05.11.2025 04:33:43 PM,05.11.2025 04:44:56 PM,00:11:13,0.00465
11051827-1214-0066-0000-5d1958e56e1c,google,seo tools,2840,en,05.11.2025 04:27:51 PM,05.11.2025 04:28:23 PM,00:00:32,0.0006
